FAMILIA,OBJETO_ALCANCE,APLICA_PMA_PSM,NUM_FICHAS,FICHAS_APLICAN,AS-1,AS-2,AS-3,AS-4,AS-5,AS-6,AS-6C,AS-7,AS-8,AS-9,AS-10,ARH-1,ARH-2,ARH-2C,ARH-3,ARH-4,ARH-5,ARA-1,ACA-1,ACA-2,BS-1,BS-2,BS-3,BS-4,BPCH-1,BRAI-1,BH-1,BCEVF-1,BC-1,GS-1,GS-2,GS-3,GS-4,GS-5,GS-6,GS-7,GS-7C,ASM-1,ASM-2,ASM-3,ASM-4,ASM-5,BSM-1,BSM-2,BSM-3,SSM-1
Consultoría,SOSTENIMIENTO HERRAMIENTA BWISE PARA GESTION DE RIESGOS 2021 - BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,AUDITORIA INTERNA ISO 19600 - SISTEMAS DE GESTIÓN DE CUMPLIMIENTO - BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,AUDITORIA INTERNA ISO 19600 - SISTEMAS DE GESTIÓN DE CUMPLIMIENTO - BICENTENARIO -2020,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,AUDITORIA INTERNA ISO 19600 - SISTEMAS DE GESTIÓN DE CUMPLIMIENTO - BICENTENARIO -2021,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,AUDITORIA EXTERNA PARA CERTIFICACION NORMA ISO 19600-  SISTEMAS DE GESTIÓN DE CUMPLIMIENTO-BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,AUDITORIA EXTERNA PARA SEGUIMIENTO CERTIFICADO NORMA ISO 19600-  SISTEMAS DE GESTIÓN DE CUMPLIMIENTO-BICENTENARIO -2020,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,AUDITORIA EXTERNA PARA SEGUIMIENTO CERTIFICADO NORMA ISO 19600-  SISTEMAS DE GESTIÓN DE CUMPLIMIENTO-BICENTENARIO -2021,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Implementar la transmisión de mensajes via SWIFT con las fiduciarias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Prestación de servicios de asesoría legal permanente en asuntos de derecho ambiental y otros,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Servicios legales de asesoría en relación con la elaboración de la Matriz Legal de Cumplimiento HSE (SSTA) y su actualización periódica.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
